,OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,ENSEMBL_A,ENSEMBL_B,PUBMED_ID,description_A,description_B
11655,CD74,MIF,ENSG00000019582,ENSG00000240972,12782713,CD74 MOLECULE,MACROPHAGE MIGRATION INHIBITORY FACTOR
11718,ANXA5,ITGB5,ENSG00000164111,ENSG00000082781,12769841,ANNEXIN A5,INTEGRIN SUBUNIT BETA 5
11719,ITGB5,ANXA5,ENSG00000082781,ENSG00000164111,12769841,INTEGRIN SUBUNIT BETA 5,ANNEXIN A5
11902,TGFB3,TGFBR2,ENSG00000119699,ENSG00000163513,12729750,TRANSFORMING GROWTH FACTOR BETA 3,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2
11909,HBEGF,EGFR,ENSG00000113070,ENSG00000146648,12725245,HEPARIN BINDING EGF LIKE GROWTH FACTOR,EPIDERMAL GROWTH FACTOR RECEPTOR
12534,PHB,ANXA2,ENSG00000167085,ENSG00000182718,12628297,PROHIBITIN,ANNEXIN A2
14150,P2RX7,ITGB2,ENSG00000089041,ENSG00000160255,11707406,PURINERGIC RECEPTOR P2X 7,INTEGRIN SUBUNIT BETA 2
16127,PLXNB2,PTN,ENSG00000196576,ENSG00000105894,16169070,PLEXIN B2,PLEIOTROPHIN
17537,P4HB,PTN,ENSG00000185624,ENSG00000105894,16169070,PROLYL 4-HYDROXYLASE SUBUNIT BETA,PLEIOTROPHIN
18153,CTLA4,CD80,ENSG00000163599,ENSG00000121594,7545666,CYTOTOXIC T-LYMPHOCYTE ASSOCIATED PROTEIN 4,CD80 MOLECULE
18154,CD28,CD80,ENSG00000178562,ENSG00000121594,7545666,CD28 MOLECULE,CD80 MOLECULE
18165,HFE,TFRC,ENSG00000010704,ENSG00000072274,9465039,HOMEOSTATIC IRON REGULATOR,TRANSFERRIN RECEPTOR
18166,TFRC,HFE,ENSG00000072274,ENSG00000010704,9465039,TRANSFERRIN RECEPTOR,HOMEOSTATIC IRON REGULATOR
18167,CEACAM1,CEACAM8,ENSG00000079385,ENSG00000124469,11994468,CARCINOEMBRYONIC ANTIGEN RELATED CELL ADHESION MOLECULE 1,CARCINOEMBRYONIC ANTIGEN RELATED CELL ADHESION MOLECULE 8
18199,FAS,FASLG,ENSG00000026103,ENSG00000117560,9126929,FAS CELL SURFACE DEATH RECEPTOR,FAS LIGAND
18216,KIT,CD9,ENSG00000157404,ENSG00000010278,12036870,"KIT PROTO-ONCOGENE, RECEPTOR TYROSINE KINASE",CD9 MOLECULE
18217,KIT,CD63,ENSG00000157404,ENSG00000135404,12036870,"KIT PROTO-ONCOGENE, RECEPTOR TYROSINE KINASE",CD63 MOLECULE
18219,CD9,KIT,ENSG00000010278,ENSG00000157404,12036870,CD9 MOLECULE,"KIT PROTO-ONCOGENE, RECEPTOR TYROSINE KINASE"
18220,CD63,KIT,ENSG00000135404,ENSG00000157404,12036870,CD63 MOLECULE,"KIT PROTO-ONCOGENE, RECEPTOR TYROSINE KINASE"
18268,PDGFRA,PDGFA,ENSG00000134853,ENSG00000197461,2544881,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,PLATELET DERIVED GROWTH FACTOR SUBUNIT A
18269,PDGFRA,PDGFB,ENSG00000134853,ENSG00000100311,2544881,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,PLATELET DERIVED GROWTH FACTOR SUBUNIT B
18321,TNFRSF9,TNFRSF9,ENSG00000049249,ENSG00000049249,9045669,TNF RECEPTOR SUPERFAMILY MEMBER 9,TNF RECEPTOR SUPERFAMILY MEMBER 9
18422,CD63,CD9,ENSG00000135404,ENSG00000010278,8630057,CD63 MOLECULE,CD9 MOLECULE
18425,CD9,ITGB1,ENSG00000010278,ENSG00000150093,8630057,CD9 MOLECULE,INTEGRIN SUBUNIT BETA 1
18426,FAS,FAS,ENSG00000026103,ENSG00000026103,7538908,FAS CELL SURFACE DEATH RECEPTOR,FAS CELL SURFACE DEATH RECEPTOR
18475,VEGFA,VEGFA,ENSG00000112715,ENSG00000112715,12086892,VASCULAR ENDOTHELIAL GROWTH FACTOR A,VASCULAR ENDOTHELIAL GROWTH FACTOR A
18505,TGFBR2,TGFB3,ENSG00000163513,ENSG00000119699,11850637,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,TRANSFORMING GROWTH FACTOR BETA 3
18506,CX3CL1,CX3CR1,ENSG00000006210,ENSG00000168329,9931005,C-X3-C MOTIF CHEMOKINE LIGAND 1,C-X3-C MOTIF CHEMOKINE RECEPTOR 1
18512,CD8A,CD8A,ENSG00000153563,ENSG00000153563,9550407,CD8A MOLECULE,CD8A MOLECULE
18545,FGFBP1,FGFBP1,ENSG00000137440,ENSG00000137440,11291074,FIBROBLAST GROWTH FACTOR BINDING PROTEIN 1,FIBROBLAST GROWTH FACTOR BINDING PROTEIN 1
18576,FGFR2,FGFR2,ENSG00000066468,ENSG00000066468,11069186,FIBROBLAST GROWTH FACTOR RECEPTOR 2,FIBROBLAST GROWTH FACTOR RECEPTOR 2
18632,CACNG2,GRIA1,ENSG00000166862,ENSG00000155511,11140673,CALCIUM VOLTAGE-GATED CHANNEL AUXILIARY SUBUNIT GAMMA 2,GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 1
18633,CACNG2,GRIA2,ENSG00000166862,ENSG00000120251,11140673,CALCIUM VOLTAGE-GATED CHANNEL AUXILIARY SUBUNIT GAMMA 2,GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 2
18638,CACNG2,GRIN1,ENSG00000166862,ENSG00000176884,11140673,CALCIUM VOLTAGE-GATED CHANNEL AUXILIARY SUBUNIT GAMMA 2,GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 1
18740,PDGFRA,PDGFC,ENSG00000134853,ENSG00000145431,11297552,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,PLATELET DERIVED GROWTH FACTOR C
18752,PLAUR,FAP,ENSG00000011422,ENSG00000078098,12376466,"PLASMINOGEN ACTIVATOR, UROKINASE RECEPTOR",FIBROBLAST ACTIVATION PROTEIN ALPHA
18913,GRIA1,GRIA2,ENSG00000155511,ENSG00000120251,10358037,GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 1,GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 2
19046,CXCR4,CCR5,ENSG00000121966,ENSG00000160791,12429730,C-X-C MOTIF CHEMOKINE RECEPTOR 4,C-C MOTIF CHEMOKINE RECEPTOR 5 (GENE/PSEUDOGENE)
19162,ITGB3,ITGAV,ENSG00000259207,ENSG00000138448,11884718,INTEGRIN SUBUNIT BETA 3,INTEGRIN SUBUNIT ALPHA V
19163,HLA-A,CD8A,ENSG00000206503,ENSG00000153563,9177355,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A",CD8A MOLECULE
19195,MSN,MSN,ENSG00000147065,ENSG00000147065,10847681,MOESIN,MOESIN
19256,F2,FGA,ENSG00000180210,ENSG00000171560,1587268,"COAGULATION FACTOR II, THROMBIN",FIBRINOGEN ALPHA CHAIN
19545,KCNN2,KCNN2,ENSG00000080709,ENSG00000080709,11323678,POTASSIUM CALCIUM-ACTIVATED CHANNEL SUBFAMILY N MEMBER 2,POTASSIUM CALCIUM-ACTIVATED CHANNEL SUBFAMILY N MEMBER 2
19668,CD74,CD74,ENSG00000019582,ENSG00000019582,2391366,CD74 MOLECULE,CD74 MOLECULE
19731,TRPV1,TRPV1,ENSG00000196689,ENSG00000196689,11358970,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY V MEMBER 1,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY V MEMBER 1
19786,CD36,LDLR,ENSG00000135218,ENSG00000130164,9555943,CD36 MOLECULE,LOW DENSITY LIPOPROTEIN RECEPTOR
19830,EGFR,AREG,ENSG00000146648,ENSG00000109321,10085134,EPIDERMAL GROWTH FACTOR RECEPTOR,AMPHIREGULIN
19926,ITGA3,CD9,ENSG00000005884,ENSG00000010278,10694273,INTEGRIN SUBUNIT ALPHA 3,CD9 MOLECULE
19945,CALR,PLAT,ENSG00000179218,ENSG00000104368,9359841,CALRETICULIN,"PLASMINOGEN ACTIVATOR, TISSUE TYPE"
19946,MBL2,CALR,ENSG00000165471,ENSG00000179218,8062452,MANNOSE BINDING LECTIN 2,CALRETICULIN
19954,LILRB1,HLA-F,ENSG00000104972,ENSG00000204642,11169396,LEUKOCYTE IMMUNOGLOBULIN LIKE RECEPTOR B1,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F"
19955,LILRB2,HLA-F,ENSG00000131042,ENSG00000204642,11169396,LEUKOCYTE IMMUNOGLOBULIN LIKE RECEPTOR B2,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F"
19996,HLA-A,CD8A,ENSG00000206503,ENSG00000153563,10809759,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A",CD8A MOLECULE
19999,HLA-B,CD8A,ENSG00000234745,ENSG00000153563,10809759,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B",CD8A MOLECULE
20000,HLA-C,CD8A,ENSG00000204525,ENSG00000153563,10809759,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C",CD8A MOLECULE
20005,ITGB1,ITGA8,ENSG00000150093,ENSG00000077943,7768999,INTEGRIN SUBUNIT BETA 1,INTEGRIN SUBUNIT ALPHA 8
20023,CALR,PDIA3,ENSG00000179218,ENSG00000167004,10436013,CALRETICULIN,PROTEIN DISULFIDE ISOMERASE FAMILY A MEMBER 3
20025,PDIA3,CALR,ENSG00000167004,ENSG00000179218,10436013,PROTEIN DISULFIDE ISOMERASE FAMILY A MEMBER 3,CALRETICULIN
20028,CD9,CD46,ENSG00000010278,ENSG00000117335,10741407,CD9 MOLECULE,CD46 MOLECULE
20029,CD151,CD46,ENSG00000177697,ENSG00000117335,10741407,CD151 MOLECULE (RAPH BLOOD GROUP),CD46 MOLECULE
20030,CD46,CD9,ENSG00000117335,ENSG00000010278,10741407,CD46 MOLECULE,CD9 MOLECULE
20031,CD46,CD151,ENSG00000117335,ENSG00000177697,10741407,CD46 MOLECULE,CD151 MOLECULE (RAPH BLOOD GROUP)
20034,CD46,ITGB1,ENSG00000117335,ENSG00000150093,10741407,CD46 MOLECULE,INTEGRIN SUBUNIT BETA 1
20035,ITGB1,CD46,ENSG00000150093,ENSG00000117335,10741407,INTEGRIN SUBUNIT BETA 1,CD46 MOLECULE
20036,ITGA2,CD46,ENSG00000164171,ENSG00000117335,10741407,INTEGRIN SUBUNIT ALPHA 2,CD46 MOLECULE
20141,PLAT,PLAU,ENSG00000104368,ENSG00000122861,7721771,"PLASMINOGEN ACTIVATOR, TISSUE TYPE","PLASMINOGEN ACTIVATOR, UROKINASE"
20157,PDGFRA,PDGFRB,ENSG00000134853,ENSG00000113721,7523122,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,PLATELET DERIVED GROWTH FACTOR RECEPTOR BETA
20158,PDGFRA,PDGFRA,ENSG00000134853,ENSG00000134853,7523122,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA
20159,PDGFRB,PDGFRB,ENSG00000113721,ENSG00000113721,7523122,PLATELET DERIVED GROWTH FACTOR RECEPTOR BETA,PLATELET DERIVED GROWTH FACTOR RECEPTOR BETA
20207,ITGB2,ICAM1,ENSG00000160255,ENSG00000090339,10352278,INTEGRIN SUBUNIT BETA 2,INTERCELLULAR ADHESION MOLECULE 1
20227,MMP7,FASLG,ENSG00000137673,ENSG00000117560,12464266,MATRIX METALLOPEPTIDASE 7,FAS LIGAND
20233,TGFBR2,ENG,ENSG00000163513,ENSG00000106991,12015308,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,ENDOGLIN
20234,TGFBR1,ENG,ENSG00000106799,ENSG00000106991,12015308,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1,ENDOGLIN
20235,ENG,TGFBR1,ENSG00000106991,ENSG00000106799,12015308,ENDOGLIN,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1
20236,ENG,TGFBR2,ENSG00000106991,ENSG00000163513,12015308,ENDOGLIN,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2
20299,CD38,FCGR3A,ENSG00000004468,ENSG00000203747,11895784,CD38 MOLECULE,FC FRAGMENT OF IGG RECEPTOR IIIA
20322,ENO1,PLG,ENSG00000074800,ENSG00000122194,11169399,ENOLASE 1,PLASMINOGEN
20332,TRPC4,TRPC4,ENSG00000133107,ENSG00000133107,12032305,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY C MEMBER 4,TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY C MEMBER 4
20502,KCNJ3,KCNJ5,ENSG00000162989,ENSG00000120457,9108307,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 3,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 5
20527,NRP1,VEGFA,ENSG00000099250,ENSG00000112715,11986311,NEUROPILIN 1,VASCULAR ENDOTHELIAL GROWTH FACTOR A
20582,KCNC1,KCNH1,ENSG00000129159,ENSG00000143473,12060745,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY C MEMBER 1,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY H MEMBER 1
20636,LGALS1,LGALS3,ENSG00000100097,ENSG00000131981,11522829,GALECTIN 1,GALECTIN 3
20756,ITGB2,ITGAL,ENSG00000160255,ENSG00000005844,9442085,INTEGRIN SUBUNIT BETA 2,INTEGRIN SUBUNIT ALPHA L
20879,PLAU,SERPINA5,ENSG00000122861,ENSG00000188488,2752144,"PLASMINOGEN ACTIVATOR, UROKINASE",SERPIN FAMILY A MEMBER 5
20938,CD2,PTPRC,ENSG00000116824,ENSG00000081237,1970422,CD2 MOLECULE,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE C
21190,GSR,GSR,ENSG00000104687,ENSG00000104687,9151953,GLUTATHIONE-DISULFIDE REDUCTASE,GLUTATHIONE-DISULFIDE REDUCTASE
21421,HLA-DMA,HLA-DRB1,ENSG00000204257,ENSG00000196126,9371817,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DM ALPHA","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA 1"
21429,ITGA2B,F2,ENSG00000005961,ENSG00000180210,11487023,INTEGRIN SUBUNIT ALPHA 2B,"COAGULATION FACTOR II, THROMBIN"
21697,ANXA2,PLAT,ENSG00000182718,ENSG00000104368,12468550,ANNEXIN A2,"PLASMINOGEN ACTIVATOR, TISSUE TYPE"
21752,ELANE,SERPINF2,ENSG00000197561,ENSG00000167711,6980881,"ELASTASE, NEUTROPHIL EXPRESSED",SERPIN FAMILY F MEMBER 2
21955,DMD,DAG1,ENSG00000198947,ENSG00000173402,10932245,DYSTROPHIN,DYSTROGLYCAN 1
22054,FGB,CALR,ENSG00000171564,ENSG00000179218,7592883,FIBRINOGEN BETA CHAIN,CALRETICULIN
22149,STX4,VAMP3,ENSG00000103496,ENSG00000049245,10820264,SYNTAXIN 4,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
22163,PLAUR,ITGAM,ENSG00000011422,ENSG00000169896,10744708,"PLASMINOGEN ACTIVATOR, UROKINASE RECEPTOR",INTEGRIN SUBUNIT ALPHA M
22180,HLA-E,B2M,ENSG00000204592,ENSG00000166710,9605335,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E",BETA-2-MICROGLOBULIN
22219,CALR,APP,ENSG00000179218,ENSG00000142192,11378243,CALRETICULIN,AMYLOID BETA PRECURSOR PROTEIN
22229,MMP7,HBEGF,ENSG00000137673,ENSG00000113070,11825873,MATRIX METALLOPEPTIDASE 7,HEPARIN BINDING EGF LIKE GROWTH FACTOR
22230,MMP7,CD44,ENSG00000137673,ENSG00000026508,11825873,MATRIX METALLOPEPTIDASE 7,CD44 MOLECULE (INDIAN BLOOD GROUP)
22232,ITGA3,CD9,ENSG00000005884,ENSG00000010278,10065872,INTEGRIN SUBUNIT ALPHA 3,CD9 MOLECULE
22233,ITGA5,CD9,ENSG00000161638,ENSG00000010278,10065872,INTEGRIN SUBUNIT ALPHA 5,CD9 MOLECULE
22485,SHH,SHH,ENSG00000164690,ENSG00000164690,11395778,SONIC HEDGEHOG SIGNALING MOLECULE,SONIC HEDGEHOG SIGNALING MOLECULE
22625,WNT1,SFRP1,ENSG00000125084,ENSG00000104332,10347172,WNT FAMILY MEMBER 1,SECRETED FRIZZLED RELATED PROTEIN 1
22626,WNT2,SFRP1,ENSG00000105989,ENSG00000104332,10347172,WNT FAMILY MEMBER 2,SECRETED FRIZZLED RELATED PROTEIN 1
22627,FZD6,SFRP1,ENSG00000164930,ENSG00000104332,10347172,FRIZZLED CLASS RECEPTOR 6,SECRETED FRIZZLED RELATED PROTEIN 1
22628,SFRP1,FZD6,ENSG00000104332,ENSG00000164930,10347172,SECRETED FRIZZLED RELATED PROTEIN 1,FRIZZLED CLASS RECEPTOR 6
22649,CD1D,CALR,ENSG00000158473|IMGT/GENE-DB:CD1D,ENSG00000179218,12239218,CD1D MOLECULE,CALRETICULIN
22706,APOA1,ABCA1,ENSG00000118137,ENSG00000165029,12084722,APOLIPOPROTEIN A1,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1
22707,ABCA1,APOA1,ENSG00000165029,ENSG00000118137,12084722,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1,APOLIPOPROTEIN A1
22719,MAP3K5,MAP3K5,ENSG00000197442,ENSG00000197442,11416155,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5
22775,SPARC,VEGFA,ENSG00000113140,ENSG00000112715,9792673,SECRETED PROTEIN ACIDIC AND CYSTEINE RICH,VASCULAR ENDOTHELIAL GROWTH FACTOR A
22872,VEGFA,VEGFA,ENSG00000112715,ENSG00000112715,8631822,VASCULAR ENDOTHELIAL GROWTH FACTOR A,VASCULAR ENDOTHELIAL GROWTH FACTOR A
22897,CD44,TGFBR1,ENSG00000026508,ENSG00000106799,12145287,CD44 MOLECULE (INDIAN BLOOD GROUP),TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1
23107,ITGAD,ITGB2,ENSG00000156886,ENSG00000160255,8777714,INTEGRIN SUBUNIT ALPHA D,INTEGRIN SUBUNIT BETA 2
23123,TGFBR2,ENG,ENSG00000163513,ENSG00000106991,9872992,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,ENDOGLIN
