Gene / Product (bioentity),Gene / Product (bioentity_label),Gene / Product (bioentity_name),Synonyms,Organism (taxon_label),Type,Source,PANTHER family (panther_family_label),PANTHER family (panther_family),Direct annotation (annotation_class_list_label),Direct annotation (annotation_class_list),Inferred annotation (annotation_class_list_label),Inferred annotation (annotation_class_list)
UniProtKB:Q9NR97,TLR8,Toll-like receptor 8,UNQ249/PRO286,Homo sapiens,protein,UniProtKB,family not named pthr47410,PANTHER:PTHR47410,drug binding|positive regulation of interleukin-1 beta secretion|external side of plasma membrane|Golgi membrane|response to virus|endoplasmic reticulum membrane|MyD88-dependent toll-like receptor signaling pathway|RNA binding|positive regulation of interferon-gamma biosynthetic process|positive regulation of interleukin-6 secretion|double-stranded RNA binding|single-stranded RNA binding|defense response to virus|toll-like receptor 9 signaling pathway|endolysosome membrane|signaling receptor activity|negative regulation of interleukin-12 secretion|positive regulation of interferon-alpha biosynthetic process|I-kappaB kinase/NF-kappaB signaling|positive regulation of interleukin-8 biosynthetic process|positive regulation of interferon-beta biosynthetic process|toll-like receptor signaling pathway|microglial cell activation|DNA binding|cellular response to mechanical stimulus|transmembrane signaling receptor activity|positive regulation of innate immune response|regulation of protein phosphorylation|innate immune response|immunoglobulin mediated immune response|integral component of membrane|endosome membrane|toll-like receptor 8 signaling pathway,GO:0008144|GO:0050718|GO:0009897|GO:0000139|GO:0009615|GO:0005789|GO:0002755|GO:0003723|GO:0045078|GO:2000778|GO:0003725|GO:0003727|GO:0051607|GO:0034162|GO:0036020|GO:0038023|GO:2001183|GO:0045356|GO:0007249|GO:0045416|GO:0045359|GO:0002224|GO:0001774|GO:0003677|GO:0071260|GO:0004888|GO:0045089|GO:0001932|GO:0045087|GO:0016064|GO:0016021|GO:0010008|GO:0034158,,
UniProtKB:P06858,LPL,Lipoprotein lipase,LIPD,Homo sapiens,protein,UniProtKB,lipase pthr11610,PANTHER:PTHR11610,low-density lipoprotein particle mediated signaling|positive regulation of interleukin-1 beta secretion|triglyceride metabolic process|positive regulation of fat cell differentiation|lipoprotein lipase activity|phospholipid metabolic process|phospholipase activity|regulation of lipoprotein lipase activity|response to glucose|calcium ion binding|heparan sulfate proteoglycan binding|triglyceride homeostasis|lipoprotein particle binding|triglyceride binding|apolipoprotein binding|chylomicron|cellular response to nutrient|positive regulation of inflammatory response|positive regulation of tumor necrosis factor secretion|plasma membrane|protein binding|triglyceride biosynthetic process|positive regulation of macrophage derived foam cell differentiation|triglyceride catabolic process|very-low-density lipoprotein particle remodeling|chylomicron remodeling|negative regulation of cellular response to insulin stimulus|positive regulation of chemokine secretion|heparin binding|extracellular region|cholesterol homeostasis|response to cold|retinoid metabolic process|cellular response to fatty acid|positive regulation of interleukin-6 secretion|protein membrane anchor|very-low-density lipoprotein particle|positive regulation of sequestering of triglyceride|protein homodimerization activity|fatty acid biosynthetic process|signaling receptor binding|fatty acid metabolic process|positive regulation of chemokine (C-C motif) ligand 2 secretion|cell surface|extracellular space|response to bacterium|response to drug|positive regulation of cholesterol storage|triglyceride lipase activity|positive regulation of lipid storage,GO:0055096|GO:0050718|GO:0006641|GO:0045600|GO:0004465|GO:0006644|GO:0004620|GO:0051004|GO:0009749|GO:0005509|GO:0043395|GO:0070328|GO:0071813|GO:0017129|GO:0034185|GO:0042627|GO:0031670|GO:0050729|GO:1904469|GO:0005886|GO:0005515|GO:0019432|GO:0010744|GO:0019433|GO:0034372|GO:0034371|GO:1900077|GO:0090197|GO:0008201|GO:0005576|GO:0042632|GO:0009409|GO:0001523|GO:0071398|GO:2000778|GO:0043495|GO:0034361|GO:0010890|GO:0042803|GO:0006633|GO:0005102|GO:0006631|GO:1904209|GO:0009986|GO:0005615|GO:0009617|GO:0042493|GO:0010886|GO:0004806|GO:0010884,,
UniProtKB:P51790,CLCN3,H(+)/Cl(-) exchange transporter 3,,Homo sapiens,protein,UniProtKB,family not named pthr45711,PANTHER:PTHR45711,chloride transmembrane transport|synaptic vesicle|late endosome|external side of plasma membrane|Golgi membrane|Golgi apparatus|chloride channel activity|regulation of pH|ATP binding|early endosome|negative regulation of cell volume|protein heterodimerization activity|specific granule|endosomal lumen acidification|volume-sensitive chloride channel activity|PDZ domain binding|cytoplasmic vesicle|protein homodimerization activity|secretory granule|phagocytic vesicle|plasma membrane|cell surface|early endosome membrane|late endosome membrane|protein binding|transport vesicle membrane|vesicle membrane|membrane|integral component of membrane,GO:1902476|GO:0008021|GO:0005770|GO:0009897|GO:0000139|GO:0005794|GO:0005254|GO:0006885|GO:0005524|GO:0005769|GO:0045794|GO:0046982|GO:0042581|GO:0048388|GO:0072320|GO:0030165|GO:0031410|GO:0042803|GO:0030141|GO:0045335|GO:0005886|GO:0009986|GO:0031901|GO:0031902|GO:0005515|GO:0030658|GO:0012506|GO:0016020|GO:0016021,,
UniProtKB:Q30201,HFE,Hereditary hemochromatosis protein,HLAH,Homo sapiens,protein,UniProtKB,mhc class i-related pthr16675,PANTHER:PTHR16675,"positive regulation of protein binding|cellular iron ion homeostasis|apical part of cell|basal part of cell|BMP signaling pathway|negative regulation of CD8-positive, alpha-beta T cell activation|protein-containing complex assembly|transferrin transport|plasma membrane|protein binding|regulation of protein localization to cell surface|negative regulation of T cell cytokine production|positive regulation of gene expression|transferrin receptor binding|co-receptor binding|cellular response to iron ion starvation|positive regulation of pathway-restricted SMAD protein phosphorylation|negative regulation of proteasomal ubiquitin-dependent protein catabolic process|iron ion homeostasis|multicellular organismal iron ion homeostasis|positive regulation of ferrous iron binding|positive regulation of peptide hormone secretion|external side of plasma membrane|positive regulation of transferrin receptor binding|cellular response to iron ion|integral component of plasma membrane|early endosome|liver regeneration|iron ion import across plasma membrane|response to iron ion|cytoplasmic vesicle|beta-2-microglobulin binding|positive regulation of receptor-mediated endocytosis|negative regulation of ubiquitin-dependent protein catabolic process|positive regulation of signaling receptor activity|positive regulation of receptor binding|negative regulation of signaling receptor activity|negative regulation of receptor binding|female pregnancy|signaling receptor binding|acute-phase response|hormone biosynthetic process|extracellular space|perinuclear region of cytoplasm|terminal web|negative regulation of T cell antigen processing and presentation|HFE-transferrin receptor complex|recycling endosome|negative regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I|regulation of iron ion transport",GO:0032092|GO:0006879|GO:0045177|GO:0045178|GO:0030509|GO:2001186|GO:0065003|GO:0033572|GO:0005886|GO:0005515|GO:2000008|GO:0002725|GO:0010628|GO:1990459|GO:0039706|GO:0010106|GO:0010862|GO:0032435|GO:0055072|GO:0060586|GO:1904434|GO:0090277|GO:0009897|GO:1904437|GO:0071281|GO:0005887|GO:0005769|GO:0097421|GO:0098711|GO:0010039|GO:0031410|GO:0030881|GO:0048260|GO:2000059|GO:2000273|GO:1900122|GO:2000272|GO:1900121|GO:0007565|GO:0005102|GO:0006953|GO:0042446|GO:0005615|GO:0048471|GO:1990357|GO:0002626|GO:1990712|GO:0055037|GO:1904283|GO:0034756,,
UniProtKB:Q86YW5,TREML1,Trem-like transcript 1 protein,TLT1|UNQ1825/PRO3438,Homo sapiens,protein,UniProtKB,polymeric-immunoglobulin receptor pthr11860,PANTHER:PTHR11860,platelet alpha granule|innate immune response|integral component of membrane|platelet activation|plasma membrane|cell surface|regulation of immune response,GO:0031091|GO:0045087|GO:0016021|GO:0030168|GO:0005886|GO:0009986|GO:0050776,,
UniProtKB:Q92823,NRCAM,Neuronal cell adhesion molecule,KIAA0343,Homo sapiens,protein,UniProtKB,family not named pthr44170,PANTHER:PTHR44170,protein localization|external side of plasma membrane|positive regulation of neuron differentiation|extracellular region|neuron projection|axonal fasciculation|regulation of postsynapse organization|integral component of plasma membrane|neuron migration|axon initial segment|angiogenesis|ankyrin binding|axonogenesis|protein binding involved in heterotypic cell-cell adhesion|glutamatergic synapse|neuronal action potential propagation|retinal ganglion cell axon guidance|integral component of postsynaptic density membrane|plasma membrane|clustering of voltage-gated sodium channels|synapse assembly|regulation of axon extension|protein binding|central nervous system development|heterotypic cell-cell adhesion|cell-cell adhesion,GO:0008104|GO:0009897|GO:0045666|GO:0005576|GO:0043005|GO:0007413|GO:0099175|GO:0005887|GO:0001764|GO:0043194|GO:0001525|GO:0030506|GO:0007409|GO:0086080|GO:0098978|GO:0019227|GO:0031290|GO:0099061|GO:0005886|GO:0045162|GO:0007416|GO:0030516|GO:0005515|GO:0007417|GO:0034113|GO:0098609,,
UniProtKB:O96005,CLPTM1,Cleft lip and palate transmembrane protein 1,,Homo sapiens,protein,UniProtKB,cleft lip and palate associated transmembrane protein-related pthr21347,PANTHER:PTHR21347,integral component of plasma membrane|protein binding|multicellular organism development|membrane|external side of plasma membrane|cell differentiation|regulation of T cell differentiation in thymus,GO:0005887|GO:0005515|GO:0007275|GO:0016020|GO:0009897|GO:0030154|GO:0033081,,
UniProtKB:Q15262,PTPRK,Receptor-type tyrosine-protein phosphatase kappa,PTPK,Homo sapiens,protein,UniProtKB,protein-tyrosine phosphatase pthr19134,PANTHER:PTHR19134,"protein localization to cell surface|negative regulation of cell population proliferation|transforming growth factor beta receptor signaling pathway|negative regulation of cell cycle|cell adhesion|neuronal cell body|photoreceptor outer segment|negative regulation of keratinocyte proliferation|integral component of plasma membrane|dendrite|gamma-catenin binding|negative regulation of transcription, DNA-templated|intracellular membrane-bounded organelle|cellular response to UV|leading edge membrane|focal adhesion assembly|cell migration|peptidyl-tyrosine dephosphorylation|axon|protein kinase binding|signal transduction|neuron projection development|protein dephosphorylation|transmembrane receptor protein tyrosine phosphatase activity|beta-catenin binding|plasma membrane|cell surface|adherens junction|protein binding|cell-cell junction|protein tyrosine phosphatase activity|integral component of membrane|cell junction|cellular response to reactive oxygen species|negative regulation of cell migration",GO:0034394|GO:0008285|GO:0007179|GO:0045786|GO:0007155|GO:0043025|GO:0001750|GO:0010839|GO:0005887|GO:0030425|GO:0045295|GO:0045892|GO:0043231|GO:0034644|GO:0031256|GO:0048041|GO:0016477|GO:0035335|GO:0030424|GO:0019901|GO:0007165|GO:0031175|GO:0006470|GO:0005001|GO:0008013|GO:0005886|GO:0009986|GO:0005912|GO:0005515|GO:0005911|GO:0004725|GO:0016021|GO:0030054|GO:0034614|GO:0030336,,
UniProtKB:Q86YC3,NRROS,Transforming growth factor beta activator LRRC33,LRRC33|UNQ3030/PRO9833,Homo sapiens,protein,UniProtKB,family not named pthr45617,PANTHER:PTHR45617,sequestering of TGFbeta in extracellular matrix|transforming growth factor beta1 activation|transforming growth factor beta receptor signaling pathway|endoplasmic reticulum|extracellular region|plasma membrane|cell surface|endoplasmic reticulum membrane|transforming growth factor beta binding|inflammatory response|superoxide metabolic process|immune response|integral component of membrane|microglia development,GO:0035583|GO:0036364|GO:0007179|GO:0005783|GO:0005576|GO:0005886|GO:0009986|GO:0005789|GO:0050431|GO:0006954|GO:0006801|GO:0006955|GO:0016021|GO:0014005,,
UniProtKB:O00322,UPK1A,Uroplakin-1a,TSPAN21,Homo sapiens,protein,UniProtKB,tetraspanin pthr19282,PANTHER:PTHR19282,epithelial cell differentiation|apical plasma membrane urothelial plaque|protein binding|protein homodimerization activity|extracellular exosome|integral component of membrane|endoplasmic reticulum|plasma membrane|protein complex oligomerization|cell surface,GO:0030855|GO:0120001|GO:0005515|GO:0042803|GO:0070062|GO:0016021|GO:0005783|GO:0005886|GO:0051259|GO:0009986,,
UniProtKB:Q6UVK1,CSPG4,Chondroitin sulfate proteoglycan 4,MCSP,Homo sapiens,protein,UniProtKB,family not named pthr15036,PANTHER:PTHR15036,cell population proliferation|protein kinase binding|collagen-containing extracellular matrix|transmembrane receptor protein tyrosine kinase signaling pathway|lysosomal lumen|extracellular region|Golgi lumen|glial cell migration|cell surface|chondroitin sulfate biosynthetic process|tissue remodeling|activation of MAPK activity|integral component of plasma membrane|dermatan sulfate biosynthetic process|chondroitin sulfate catabolic process|extracellular exosome|focal adhesion|angiogenesis|apical plasma membrane|intracellular signal transduction|positive regulation of peptidyl-tyrosine phosphorylation|lamellipodium membrane,GO:0008283|GO:0019901|GO:0062023|GO:0007169|GO:0043202|GO:0005576|GO:0005796|GO:0008347|GO:0009986|GO:0030206|GO:0048771|GO:0000187|GO:0005887|GO:0030208|GO:0030207|GO:0070062|GO:0005925|GO:0001525|GO:0016324|GO:0035556|GO:0050731|GO:0031258,,
UniProtKB:P16234,PDGFRA,Platelet-derived growth factor receptor alpha,PDGFR2|RHEPDGFRA,Homo sapiens,protein,UniProtKB,tyrosine-protein kinase receptor pthr24416,PANTHER:PTHR24416,retina vasculature development in camera-type eye|peptidyl-tyrosine phosphorylation|positive regulation of phosphatidylinositol 3-kinase signaling|signal transduction involved in regulation of gene expression|protein autophosphorylation|Golgi apparatus|embryonic digestive tract morphogenesis|face morphogenesis|protein-containing complex binding|cell chemotaxis|wound healing|in utero embryonic development|microvillus|cardiac myofibril assembly|platelet aggregation|platelet-derived growth factor receptor binding|platelet-derived growth factor receptor-alpha signaling pathway|positive regulation of phosphatidylinositol 3-kinase activity|platelet-derived growth factor receptor signaling pathway|protein kinase activity|plasma membrane|platelet-derived growth factor binding|luteinization|nucleus|protein binding|male genitalia development|phosphatidylinositol-mediated signaling|negative regulation of platelet activation|positive regulation of phospholipase C activity|cell junction|protein-containing complex|intrinsic component of plasma membrane|regulation of chemotaxis|regulation of actin cytoskeleton reorganization|Leydig cell differentiation|cellular response to reactive oxygen species|positive regulation of protein kinase B signaling|positive regulation of cell migration|positive regulation of cell population proliferation|roof of mouth development|external side of plasma membrane|odontogenesis of dentin-containing tooth|positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway|MAPK cascade|ATP binding|integral component of plasma membrane|cellular response to amino acid stimulus|regulation of mesenchymal stem cell differentiation|transmembrane receptor protein tyrosine kinase activity|positive regulation of fibroblast proliferation|cilium|viral process|adrenal gland development|lung development|protein homodimerization activity|estrogen metabolic process|vascular endothelial growth factor-activated receptor activity|embryonic cranial skeleton morphogenesis|vascular endothelial growth factor binding|embryonic skeletal system morphogenesis|positive regulation of cytosolic calcium ion concentration|platelet-derived growth factor alpha-receptor activity|cell activation|cytoplasm|metanephric glomerular capillary formation|membrane|positive regulation of ERK1 and ERK2 cascade|extracellular matrix organization,GO:0061298|GO:0018108|GO:0014068|GO:0023019|GO:0046777|GO:0005794|GO:0048557|GO:0060325|GO:0044877|GO:0060326|GO:0042060|GO:0001701|GO:0005902|GO:0055003|GO:0070527|GO:0005161|GO:0035790|GO:0043552|GO:0048008|GO:0004672|GO:0005886|GO:0048407|GO:0001553|GO:0005634|GO:0005515|GO:0030539|GO:0048015|GO:0010544|GO:0010863|GO:0030054|GO:0032991|GO:0031226|GO:0050920|GO:2000249|GO:0033327|GO:0034614|GO:0051897|GO:0030335|GO:0008284|GO:0060021|GO:0009897|GO:0042475|GO:0038091|GO:0000165|GO:0005524|GO:0005887|GO:0071230|GO:2000739|GO:0004714|GO:0048146|GO:0005929|GO:0016032|GO:0030325|GO:0030324|GO:0042803|GO:0008210|GO:0005021|GO:0048701|GO:0038085|GO:0048704|GO:0007204|GO:0005018|GO:0001775|GO:0005737|GO:0072277|GO:0016020|GO:0070374|GO:0030198,,
UniProtKB:P51684,CCR6,C-C chemokine receptor type 6,CKRL3|CMKBR6|GPR29|STRL22,Homo sapiens,protein,UniProtKB,cell adhesion molecule pthr10489,PANTHER:PTHR10489,C-C chemokine binding|DN2 thymocyte differentiation|DN3 thymocyte differentiation|cell chemotaxis|integral component of plasma membrane|chemotaxis|sperm midpiece|sperm plasma membrane|humoral immune response|C-C chemokine receptor activity|sperm principal piece|positive regulation of epithelial cell migration|calcium-mediated signaling|sperm flagellum|positive regulation of flagellated sperm motility involved in capacitation|G protein-coupled receptor signaling pathway|signal transduction|signaling receptor activity|plasma membrane|chemokine receptor activity|cell surface|cellular defense response|leukocyte migration involved in inflammatory response|protein binding|regulation of T cell migration|chemokine-mediated signaling pathway|dendritic cell chemotaxis|isotype switching to IgA isotypes|thymocyte migration|T cell migration|lymphocyte migration,GO:0019957|GO:1904155|GO:1904156|GO:0060326|GO:0005887|GO:0006935|GO:0097225|GO:0097524|GO:0006959|GO:0016493|GO:0097228|GO:0010634|GO:0019722|GO:0036126|GO:0060474|GO:0007186|GO:0007165|GO:0038023|GO:0005886|GO:0004950|GO:0009986|GO:0006968|GO:0002523|GO:0005515|GO:2000404|GO:0070098|GO:0002407|GO:0048290|GO:0072679|GO:0072678|GO:0072676,,
UniProtKB:P51681,CCR5,C-C chemokine receptor type 5,CMKBR5,Homo sapiens,protein,UniProtKB,cell adhesion molecule pthr10489,PANTHER:PTHR10489,C-C chemokine binding|external side of plasma membrane|MAPK cascade|phosphatidylinositol phospholipase C activity|integral component of plasma membrane|chemokine (C-C motif) ligand 5 binding|endosome|fusion of virus membrane with host plasma membrane|cytokine-mediated signaling pathway|calcium ion transport|C-C chemokine receptor activity|negative regulation of macrophage apoptotic process|calcium-mediated signaling|response to cholesterol|coreceptor activity|G protein-coupled receptor signaling pathway|entry into host cell|cell-cell signaling|cell surface receptor signaling pathway|plasma membrane|chemokine receptor activity|cell surface|cellular defense response|protein binding|actin binding|release of sequestered calcium ion into cytosol by sarcoplasmic reticulum|cellular response to lipopolysaccharide|chemokine-mediated signaling pathway|dendritic cell chemotaxis|signaling|virus receptor activity,GO:0019957|GO:0009897|GO:0000165|GO:0004435|GO:0005887|GO:0071791|GO:0005768|GO:0019064|GO:0019221|GO:0006816|GO:0016493|GO:2000110|GO:0019722|GO:0070723|GO:0015026|GO:0007186|GO:0030260|GO:0007267|GO:0007166|GO:0005886|GO:0004950|GO:0009986|GO:0006968|GO:0005515|GO:0003779|GO:0014808|GO:0071222|GO:0070098|GO:0002407|GO:0023052|GO:0001618,,
UniProtKB:Q8TE58,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,,Homo sapiens,protein,UniProtKB,adamts  a disintegrin and metalloprotease with thrombospondin motifs  protease pthr13723,PANTHER:PTHR13723,extracellular matrix binding|extracellular space|zinc ion binding|proteolysis|collagen-containing extracellular matrix|heparin binding|metalloendopeptidase activity|cell surface,GO:0050840|GO:0005615|GO:0008270|GO:0006508|GO:0062023|GO:0008201|GO:0004222|GO:0009986,,
UniProtKB:P23763,VAMP1,Vesicle-associated membrane protein 1,SYB1,Homo sapiens,protein,UniProtKB,family not named pthr45701,PANTHER:PTHR45701,SNARE complex assembly|mitochondrial outer membrane|neuron projection|cell surface|integral component of plasma membrane|protein binding|synaptic vesicle priming|cytosol|cell junction|integral component of synaptic vesicle membrane|regulation of synaptic vesicle fusion to presynaptic active zone membrane|neuromuscular junction|synaptic vesicle membrane|glutamatergic synapse|tertiary granule membrane|specific granule membrane,GO:0035493|GO:0005741|GO:0043005|GO:0009986|GO:0005887|GO:0005515|GO:0016082|GO:0005829|GO:0030054|GO:0030285|GO:0031630|GO:0031594|GO:0030672|GO:0098978|GO:0070821|GO:0035579,,
UniProtKB:O14525,ASTN1,Astrotactin-1,ASTN|KIAA0289,Homo sapiens,protein,UniProtKB,family not named pthr16592,PANTHER:PTHR16592,neuron migration|endosome|locomotory behavior|external side of plasma membrane|integral component of membrane|neuron cell-cell adhesion|clathrin-coated vesicle|perikaryon|cellular_component,GO:0001764|GO:0005768|GO:0007626|GO:0009897|GO:0016021|GO:0007158|GO:0030136|GO:0043204|GO:0005575,,
UniProtKB:O14522,PTPRT,Receptor-type tyrosine-protein phosphatase T,KIAA0283,Homo sapiens,protein,UniProtKB,protein-tyrosine phosphatase pthr19134,PANTHER:PTHR19134,negative regulation of receptor signaling pathway via STAT|cell adhesion|homophilic cell adhesion via plasma membrane adhesion molecules|alpha-catenin binding|integral component of plasma membrane|gamma-catenin binding|cellular response to interleukin-6|cadherin binding|peptidyl-tyrosine dephosphorylation|protein phosphatase binding|protein homodimerization activity|signal transduction|protein dephosphorylation|transmembrane receptor protein tyrosine kinase signaling pathway|transmembrane receptor protein tyrosine phosphatase activity|beta-catenin binding|plasma membrane|cell surface|peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity|delta-catenin binding|protein binding|protein tyrosine phosphatase activity|STAT family protein binding|integral component of membrane|negative regulation of cell migration,GO:1904893|GO:0007155|GO:0007156|GO:0045294|GO:0005887|GO:0045295|GO:0071354|GO:0045296|GO:0035335|GO:0019903|GO:0042803|GO:0007165|GO:0006470|GO:0007169|GO:0005001|GO:0008013|GO:0005886|GO:0009986|GO:1990264|GO:0070097|GO:0005515|GO:0004725|GO:0097677|GO:0016021|GO:0030336,,
UniProtKB:A6NI73,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,ILT11|LILRB7|LIR9,Homo sapiens,protein,UniProtKB,mhc class i nk cell receptor pthr11738,PANTHER:PTHR11738,positive regulation of interleukin-10 secretion|positive regulation of protein tyrosine kinase activity|positive regulation of interleukin-1 beta secretion|positive regulation of inflammatory response|positive regulation of calcium ion transport|negative regulation of interleukin-12 secretion|positive regulation of tumor necrosis factor secretion|positive regulation of MAPK cascade|extracellular region|plasma membrane|cell surface|positive regulation of interleukin-6 secretion|innate immune response|integral component of membrane|positive regulation of cell activation|negative regulation of interleukin-13 secretion,GO:2001181|GO:0061098|GO:0050718|GO:0050729|GO:0051928|GO:2001183|GO:1904469|GO:0043410|GO:0005576|GO:0005886|GO:0009986|GO:2000778|GO:0045087|GO:0016021|GO:0050867|GO:2000666,,
UniProtKB:Q13291,SLAMF1,Signaling lymphocytic activation molecule,SLAM,Homo sapiens,protein,UniProtKB,signaling lymphocytic activation molecule pthr12080,PANTHER:PTHR12080,viral entry into host cell|identical protein binding|positive regulation of cell population proliferation|adaptive immune response|cell adhesion|lymphocyte activation|myeloid dendritic cell activation involved in immune response|plasma membrane|cell surface|negative regulation of interleukin-6 production|transmembrane signaling receptor activity|protein binding|extracellular exosome|negative regulation of CD40 signaling pathway|antigen binding|innate immune response|positive regulation of JNK cascade|positive regulation of ERK1 and ERK2 cascade|phagocytosis|integral component of membrane|virus receptor activity|negative regulation of interleukin-12 production|negative regulation of tumor necrosis factor production,GO:0046718|GO:0042802|GO:0008284|GO:0002250|GO:0007155|GO:0046649|GO:0002277|GO:0005886|GO:0009986|GO:0032715|GO:0004888|GO:0005515|GO:0070062|GO:2000349|GO:0003823|GO:0045087|GO:0046330|GO:0070374|GO:0006909|GO:0016021|GO:0001618|GO:0032695|GO:0032720,,
UniProtKB:P08758,ANXA5,Annexin A5,ANX5|ENX2|PP4,Homo sapiens,protein,UniProtKB,annexin pthr10502,PANTHER:PTHR10502,signal transduction|collagen-containing extracellular matrix|external side of plasma membrane|blood coagulation|phospholipid binding|extracellular region|ATP hydrolysis coupled cation transmembrane transport|calcium-dependent phospholipid binding|platelet degranulation|protein binding|extracellular exosome|focal adhesion|negative regulation of catalytic activity|cytoplasm|calcium ion binding|negative regulation of apoptotic process|endothelial microparticle|phospholipase inhibitor activity|membrane|calcium ion transmembrane transport|cytosol,GO:0007165|GO:0062023|GO:0009897|GO:0007596|GO:0005543|GO:0005576|GO:0099132|GO:0005544|GO:0002576|GO:0005515|GO:0070062|GO:0005925|GO:0043086|GO:0005737|GO:0005509|GO:0043066|GO:0072563|GO:0004859|GO:0016020|GO:0070588|GO:0005829,,
UniProtKB:Q9NY25,CLEC5A,C-type lectin domain family 5 member A,CLECSF5|MDL1,Homo sapiens,protein,UniProtKB,family not named pthr47536,PANTHER:PTHR47536,viral entry into host cell|signal transduction|negative regulation of myeloid cell apoptotic process|neutrophil degranulation|osteoblast development|plasma membrane|cell surface|integral component of plasma membrane|cellular defense response|negative regulation of apoptotic process|innate immune response|myeloid cell differentiation|positive regulation of cytokine secretion|cytosol|virus receptor activity|carbohydrate binding|tertiary granule membrane|specific granule membrane,GO:0046718|GO:0007165|GO:0033033|GO:0043312|GO:0002076|GO:0005886|GO:0009986|GO:0005887|GO:0006968|GO:0043066|GO:0045087|GO:0030099|GO:0050715|GO:0005829|GO:0001618|GO:0030246|GO:0070821|GO:0035579,,
UniProtKB:Q9NY35,CLDND1,Claudin domain-containing protein 1,C3orf4|HSPC174|PSEC0054|UNQ2511/PRO6000,Homo sapiens,protein,UniProtKB,family not named pthr14347,PANTHER:PTHR14347,integral component of membrane|cell surface,GO:0016021|GO:0009986,,
UniProtKB:Q9P2B2,PTGFRN,Prostaglandin F2 receptor negative regulator,CD9P1|EWIF|FPRP|KIAA1436,Homo sapiens,protein,UniProtKB,family not named pthr12207,PANTHER:PTHR12207,endoplasmic reticulum membrane|protein binding|myoblast fusion involved in skeletal muscle regeneration|Golgi apparatus|lipid droplet organization|cell surface,GO:0005789|GO:0005515|GO:0014905|GO:0005794|GO:0034389|GO:0009986,,
UniProtKB:Q01974,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,NTRKR2,Homo sapiens,protein,UniProtKB,tyrosine-protein kinase receptor pthr24416,PANTHER:PTHR24416,"peptidyl-tyrosine phosphorylation|astrocyte development|positive regulation of JUN kinase activity|multicellular organism development|negative regulation of cell population proliferation|JNK cascade|neuronal cell body|microtubule|embryonic digit morphogenesis|ATP binding|dendrite|coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway|frizzled binding|clathrin-coated endocytic vesicle membrane|cartilage condensation|positive regulation of macrophage differentiation|positive regulation of transcription, DNA-templated|BMP signaling pathway|Wnt signaling pathway, planar cell polarity pathway|positive regulation of synaptic transmission, glutamatergic|Wnt-protein binding|mitogen-activated protein kinase kinase kinase binding|bone mineralization|signal transduction|positive regulation of protein kinase C activity|SMAD protein signal transduction|Wnt signaling pathway, calcium modulating pathway|positive regulation of canonical Wnt signaling pathway|smoothened signaling pathway|plasma membrane|cell surface|macrophage migration|negative regulation of canonical Wnt signaling pathway|embryonic genitalia morphogenesis|protein binding|somitogenesis|male genitalia development|metal ion binding|inner ear morphogenesis|cell fate commitment|positive regulation of cell migration",GO:0018108|GO:0014002|GO:0043507|GO:0007275|GO:0008285|GO:0007254|GO:0043025|GO:0005874|GO:0042733|GO:0005524|GO:0030425|GO:1904929|GO:0005109|GO:0030669|GO:0001502|GO:0045651|GO:0045893|GO:0030509|GO:0060071|GO:0051968|GO:0017147|GO:0031435|GO:0030282|GO:0007165|GO:1900020|GO:0060395|GO:0007223|GO:0090263|GO:0007224|GO:0005886|GO:0009986|GO:1905517|GO:0090090|GO:0030538|GO:0005515|GO:0001756|GO:0030539|GO:0046872|GO:0042472|GO:0045165|GO:0030335,,
