X.BioGRID.Interaction.ID,Entrez.Gene.Interactor.A,Entrez.Gene.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Systematic.Name.Interactor.A,Systematic.Name.Interactor.B,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Synonyms.Interactor.A,Synonyms.Interactor.B,Experimental.System,Experimental.System.Type,Author,Pubmed.ID,Organism.Interactor.A,Organism.Interactor.B,Throughput,Score,Modification,Phenotypes,Qualifications,Tags,Source.Database,ENSEMBL_A,ENSEMBL_B
242823,8764,5034,114298,111073,RP3-395M20.6,-,TNFRSF14,P4HB,ATAR|CD270|HVEA|HVEM|LIGHTR|TR2,DSI|ERBA2L|GIT|P4Hbeta|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB,Affinity Capture-MS,physical,Ewing RM (2007),17353931,9606,9606,High Throughput,0.337,-,-,Exogenous expression of bait,-,BIOGRID,ENSG00000157873,ENSG00000185624
243199,3106,4478,109351,110584,CDABP0067,-,HLA-B,MSN,AS|HLAB|SPDA1,HEL70,Affinity Capture-MS,physical,Ewing RM (2007),17353931,9606,9606,High Throughput,0.307,-,-,Exogenous expression of bait,-,BIOGRID,ENSG00000234745,ENSG00000147065
243392,7132,7124,112986,112979,-,DADB-70P7.1,TNFRSF1A,TNF,CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60,DIF|TNF-alpha|TNFA|TNFSF2,Affinity Capture-MS,physical,Bouwmeester T (2004),14743216,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000067182,ENSG00000232810
243677,659,1410,107127,107800,-,-,BMPR2,CRYAB,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,CMD1II|CRYA2|CTPP2|CTRCT16|HEL-S-101|HSPB5|MFM2,Affinity Capture-MS,physical,Hassel S (2004),15188402,9606,9606,High Throughput,-,-,-,aa 175-530 (short form including kinase domain plus 30 aa),-,BIOGRID,ENSG00000204217,ENSG00000109846
244085,999,4233,107434,110391,-,-,CDH1,MET,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,AUTS9|HGFR|RCCP2|c-Met,Affinity Capture-Western,physical,Davies G (2001),11254878,9606,9606,Low Throughput,-,-,-,Continued exposure to HGF/SF increased the level of co-precipitations between the E-cadherin/catenin complex with c-Met,-,BIOGRID,ENSG00000039068,ENSG00000105976
244153,659,7046,107127,112904,-,RP11-96L7.1,BMPR2,TGFBR1,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TGFR-1|tbetaR-I,Two-hybrid,physical,Liu F (1995),7791754,9606,9606,Low Throughput,-,-,-,cytoplasmic domain (aa 148-503) of TbetaR1,-,BIOGRID,ENSG00000204217,ENSG00000106799
244155,659,91,107127,106606,-,-,BMPR2,ACVR1B,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,ACTRIB|ACVRLK4|ALK4|SKR2,Two-hybrid,physical,Liu F (1995),7791754,9606,9606,Low Throughput,-,-,-,cytoplasmic domains as target and bait,-,BIOGRID,ENSG00000204217,ENSG00000135503
244288,355,8795,106851,114323,RP11-399O19.7,UNQ160/PRO186,FAS,TNFRSF10B,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6,CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000026103,ENSG00000120889
244289,356,8795,106852,114323,-,UNQ160/PRO186,FASLG,TNFRSF10B,ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6,CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000117560,ENSG00000120889
244291,4478,8795,110584,114323,-,UNQ160/PRO186,MSN,TNFRSF10B,HEL70,CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000147065,ENSG00000120889
244296,7132,8795,112986,114323,-,UNQ160/PRO186,TNFRSF1A,TNFRSF10B,CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60,CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000067182,ENSG00000120889
244313,355,356,106851,106852,RP11-399O19.7,-,FAS,FASLG,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6,ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000026103,ENSG00000117560
244315,4478,356,110584,106852,-,-,MSN,FASLG,HEL70,ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000147065,ENSG00000117560
244326,355,4478,106851,110584,RP11-399O19.7,-,FAS,MSN,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6,HEL70,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000026103,ENSG00000147065
244350,355,7132,106851,112986,RP11-399O19.7,-,FAS,TNFRSF1A,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6,CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000026103,ENSG00000067182
244351,356,7132,106852,112986,-,-,FASLG,TNFRSF1A,ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6,CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000117560,ENSG00000067182
244353,4478,7132,110584,112986,-,-,MSN,TNFRSF1A,HEL70,CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60,Co-purification,physical,Gajate C (2005),15659383,9606,9606,Low Throughput,-,-,-,"Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig",-,BIOGRID,ENSG00000147065,ENSG00000067182
244362,999,3682,107434,109888,-,-,CDH1,ITGAE,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,CD103|HUMINAE,Co-purification,physical,French JJ (2002),12434297,9606,9606,Low Throughput,-,-,-,Flow cytometric adhesion assay;CD103 (on T cells) and E-cadherin (on cancer cells),-,BIOGRID,ENSG00000039068,ENSG00000083457
245047,657,650,107125,107118,-,-,BMPR1A,BMP2,10q23del|ACVRLK3|ALK3|CD292|SKR5,BDA2|BMP2A,Co-crystal Structure,physical,Nickel J (2001),11263668,9606,9606,Low Throughput,-,-,-,The wrist epitope identified in the homodimeric BMP-2 molecule encompasses a large area that correlates with the high affinity for BMPR-IA binding; BMPR-II binding residues in the knuckle epitope of BMP-2 are provided by only one monomer and are located i,-,BIOGRID,ENSG00000107779,ENSG00000125845
245048,999,999,107434,107434,-,-,CDH1,CDH1,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,Co-purification,physical,Klingelhoefer J (2000),10910767,9606,9606,Low Throughput,-,-,-,These complexes were formed by a mechanism involving Trp(156) of E-cadherin. Removal of calcium ions from the culture medium triggered a novel Trp(156)-independent type of lateral E-cadherin-P-cadherin association;specificity of adhesive interaction was l,-,BIOGRID,ENSG00000039068,ENSG00000039068
245049,999,999,107434,107434,-,-,CDH1,CDH1,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,Affinity Capture-Western,physical,Klingelhoefer J (2000),10910767,9606,9606,Low Throughput,-,-,-,These complexes were formed by a mechanism involving Trp(156) of E-cadherin. Removal of calcium ions from the culture medium triggered a novel Trp(156)-independent type of lateral E-cadherin-P-cadherin association;specificity of adhesive interaction was l,-,BIOGRID,ENSG00000039068,ENSG00000039068
245050,1001,999,107436,107434,-,-,CDH3,CDH1,CDHP|HJMD|PCAD,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,Affinity Capture-Western,physical,Klingelhoefer J (2000),10910767,9606,9606,Low Throughput,-,-,-,These complexes were formed by a mechanism involving Trp(156) of E-cadherin. Removal of calcium ions from the culture medium triggered a novel Trp(156)-independent type of lateral E-cadherin-P-cadherin association;specificity of adhesive interaction was l,-,BIOGRID,ENSG00000062038,ENSG00000039068
245051,999,1001,107434,107436,-,-,CDH1,CDH3,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,CDHP|HJMD|PCAD,Affinity Capture-Western,physical,Klingelhoefer J (2000),10910767,9606,9606,Low Throughput,-,-,-,These complexes were formed by a mechanism involving Trp(156) of E-cadherin. Removal of calcium ions from the culture medium triggered a novel Trp(156)-independent type of lateral E-cadherin-P-cadherin association;specificity of adhesive interaction was l,-,BIOGRID,ENSG00000039068,ENSG00000062038
245169,659,657,107127,107125,-,-,BMPR2,BMPR1A,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,10q23del|ACVRLK3|ALK3|CD292|SKR5,Affinity Capture-Western,physical,Liu F (1995),7791754,9606,9606,Low Throughput,-,-,-,whole receptors used in vivo,-,BIOGRID,ENSG00000204217,ENSG00000107779
245171,650,659,107118,107127,-,-,BMP2,BMPR2,BDA2|BMP2A,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,Affinity Capture-Western,physical,Liu F (1995),7791754,9606,9606,Low Throughput,-,-,-,whole receptors used in vivo,-,BIOGRID,ENSG00000125845,ENSG00000204217
245173,657,659,107125,107127,-,-,BMPR1A,BMPR2,10q23del|ACVRLK3|ALK3|CD292|SKR5,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,Affinity Capture-Western,physical,Liu F (1995),7791754,9606,9606,Low Throughput,-,-,-,whole receptors used in vivo,-,BIOGRID,ENSG00000107779,ENSG00000204217
245435,999,1001,107434,107436,-,-,CDH1,CDH3,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,CDHP|HJMD|PCAD,Co-purification,physical,Klingelhoefer J (2000),10910767,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000039068,ENSG00000062038
245436,1001,1001,107436,107436,-,-,CDH3,CDH3,CDHP|HJMD|PCAD,CDHP|HJMD|PCAD,Co-purification,physical,Klingelhoefer J (2000),10910767,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000062038,ENSG00000062038
245437,1001,1001,107436,107436,-,-,CDH3,CDH3,CDHP|HJMD|PCAD,CDHP|HJMD|PCAD,Affinity Capture-Western,physical,Klingelhoefer J (2000),10910767,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000062038,ENSG00000062038
245545,4233,999,110391,107434,-,-,MET,CDH1,AUTS9|HGFR|RCCP2|c-Met,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,Affinity Capture-Western,physical,Davies G (2001),11254878,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000105976,ENSG00000039068
246001,3689,5329,109895,111345,-,-,ITGB2,PLAUR,CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7,CD87|U-PAR|UPAR|URKR,Affinity Capture-Western,physical,Yebra M (1999),10388537,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000160255,ENSG00000011422
251048,3688,3675,109894,109882,RP11-479G22.2,-,ITGB1,ITGA3,CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB,CD49C|GAP-B3|GAPB3|ILNEB|MSK18|VCA-2|VL3A|VLA3a,Reconstituted Complex,physical,Dorfleutner A (2004),15254262,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000150093,ENSG00000005884
251082,114990,7040,125406,112898,UNQ314/PRO357/PRO1282,-,VASN,TGFB1,SLITL2,CED|DPD1|LAP|TGFB|TGFbeta,Reconstituted Complex,physical,Ikeda Y (2004),15247411,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000168140,ENSG00000105329
251084,114990,7043,125406,112901,UNQ314/PRO357/PRO1282,-,VASN,TGFB3,SLITL2,ARVD|ARVD1|RNHF|TGF-beta3,Reconstituted Complex,physical,Ikeda Y (2004),15247411,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000168140,ENSG00000119699
251988,4536,2902,110632,109159,-,RP11-350O14.1,ND2,GRIN1,MTND2,GluN1|MRD8|NMD-R1|NMDA1|NMDAR1|NR1,Affinity Capture-Western,physical,Gingrich JR (2004),15069201,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,NA,ENSG00000176884
252119,22883,351,116550,106848,RP11-558F24.5,-,CLSTN1,APP,ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2,Affinity Capture-Western,physical,Araki Y (2004),15037614,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000171603,ENSG00000142192
252120,22883,5663,116550,111642,RP11-558F24.5,-,CLSTN1,PSEN1,ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2,AD3|FAD|PS-1|PS1|S182,Affinity Capture-Western,physical,Araki Y (2004),15037614,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000171603,ENSG00000080815
252973,1000,1009,107435,107444,-,-,CDH2,CDH11,CD325|CDHN|CDw325|NCAD,CAD11|CDHOB|OB|OSF-4,Affinity Capture-MS,physical,Straub BK (2003),14625392,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000170558,ENSG00000140937
252974,1009,1000,107444,107435,-,-,CDH11,CDH2,CAD11|CDHOB|OB|OSF-4,CD325|CDHN|CDw325|NCAD,Affinity Capture-MS,physical,Straub BK (2003),14625392,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000140937,ENSG00000170558
253248,55966,999,121012,107434,RP3-426F10.1,-,AJAP1,CDH1,MOT8|SHREW-1|SHREW1,Arc-1|CD324|CDHE|ECAD|LCAM|UVO,Affinity Capture-Western,physical,Bharti S (2004),14595118,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000196581,ENSG00000039068
253360,1956,1956,108276,108276,-,-,EGFR,EGFR,ERBB|ERBB1|HER1|NISBD2|PIG61|mENA,ERBB|ERBB1|HER1|NISBD2|PIG61|mENA,Affinity Capture-Western,physical,Odintsova E (2003),14576349,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000146648,ENSG00000146648
253702,9378,22871,114779,116538,-,-,NRXN1,NLGN1,Hs.22998|PTHSL2|SCZD17,NL1,Reconstituted Complex,physical,Comoletti D (2003),14522992,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000179915,ENSG00000169760
253705,634,302,107103,106799,-,-,CEACAM1,ANXA2,BGP|BGP1|BGPI,ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV,Affinity Capture-MS,physical,Kirshner J (2003),14522961,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000079385,ENSG00000182718
253706,634,302,107103,106799,-,-,CEACAM1,ANXA2,BGP|BGP1|BGPI,ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV,Reconstituted Complex,physical,Kirshner J (2003),14522961,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000079385,ENSG00000182718
255140,6900,26047,112763,117510,-,-,CNTN2,CNTNAP2,AXT|FAME5|TAG-1|TAX|TAX1,AUTS15|CASPR2|CDFE|NRXN4|PTHSL1,Affinity Capture-Western,physical,Traka M (2003),12975355,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000184144,ENSG00000174469
255141,26047,6900,117510,112763,-,-,CNTNAP2,CNTN2,AUTS15|CASPR2|CDFE|NRXN4|PTHSL1,AXT|FAME5|TAG-1|TAX|TAX1,Affinity Capture-Western,physical,Traka M (2003),12975355,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000174469,ENSG00000184144
255172,351,22883,106848,116550,-,RP11-558F24.5,APP,CLSTN1,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2,ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2,Affinity Capture-Western,physical,Araki Y (2003),12972431,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000142192,ENSG00000171603
255207,4345,131450,110486,126281,My033,UNQ2522/PRO6015,CD200,CD200R1,MOX1|MOX2|MRC|OX-2,CD200R|HCRTR2|MOX2R|OX2R,Reconstituted Complex,physical,Wright GJ (2003),12960329,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000091972,ENSG00000163606
255723,10666,5817,115908,111775,-,-,CD226,PVR,DNAM-1|DNAM1|PTA1|TLiSA1,CD155|HVED|NECL5|Necl-5|PVS|TAGE4,Reconstituted Complex,physical,Bottino C (2003),12913096,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000150637,ENSG00000073008
255724,10666,5819,115908,111777,-,-,CD226,PVRL2,DNAM-1|DNAM1|PTA1|TLiSA1,CD112|HVEB|PRR2|PVRR2,Reconstituted Complex,physical,Bottino C (2003),12913096,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000150637,ENSG00000130202
255783,10859,3105,116070,109350,XXbac-BCX85G21.4,DAQB-90C11.16-002,LILRB1,HLA-A,CD85J|ILT-2|ILT2|LIR-1|LIR1|MIR-7|MIR7,HLAA,Co-crystal Structure,physical,Willcox BE (2003),12897781,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000104972,ENSG00000206503
255806,5133,80380,111160,123259,-,-,PDCD1,PDCD1LG2,CD279|PD-1|PD1|SLEB2|hPD-1|hPD-l|hSLE1,B7DC|Btdc|CD273|PD-L2|PDCD1L2|PDL2|bA574F11.2,Reconstituted Complex,physical,Youngnak P (2003),12893276,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000188389,ENSG00000197646
255855,3579,3579,109793,109793,-,-,CXCR2,CXCR2,CD182|CDw128b|CMKAR2|IL8R2|IL8RA|IL8RB,CD182|CDw128b|CMKAR2|IL8R2|IL8RA|IL8RB,Affinity Capture-Western,physical,Trettel F (2003),12888558,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000180871,ENSG00000180871
255890,7124,7132,112979,112986,DADB-70P7.1,-,TNF,TNFRSF1A,DIF|TNF-alpha|TNFA|TNFSF2,CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60,Affinity Capture-Western,physical,Micheau O (2003),12887920,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000232810,ENSG00000067182
255896,356,355,106852,106851,-,RP11-399O19.7,FASLG,FAS,ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6,Affinity Capture-Western,physical,Micheau O (2003),12887920,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000117560,ENSG00000026103
255914,973,974,107411,107412,-,-,CD79A,CD79B,IGA|MB-1,AGM6|B29|IGB,Affinity Capture-Western,physical,Schamel WW (2003),12886015,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000105369,ENSG00000007312
256028,3135,3135,109380,109380,DADB-15K14.8,DADB-15K14.8,HLA-G,HLA-G,MHC-G,MHC-G,Affinity Capture-Western,physical,Gonen-Gross T (2003),12874224,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000204632,ENSG00000204632
256231,10288,3106,115577,109351,XXbac-BCX105G6.12-005,CDABP0067,LILRB2,HLA-B,CD85D|ILT-4|ILT4|LIR-2|LIR2|MIR-10|MIR10,AS|HLAB|SPDA1,Reconstituted Complex,physical,Shiroishi M (2003),12853576,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000131042,ENSG00000234745
